position,full_name,gsis_id,team,Total_touches,Total_HVT,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,Touch_type,percentage,label_y,Rank
RB,Christian McCaffrey,00-0033280,SF,339,101,391.3,330.17,16,2023,24.45625,20.635625,TRAP,0.7020648967551623,0.35103244837758113,RB1
RB,Christian McCaffrey,00-0033280,SF,339,101,391.3,330.17,16,2023,24.45625,20.635625,HVT_perc,0.29793510324483774,0.8510324483775811,RB1
RB,Breece Hall,00-0038120,NYJ,299,86,290.5,243.52,17,2023,17.08823529411765,14.324705882352943,TRAP,0.7123745819397993,0.35618729096989965,RB1
RB,Breece Hall,00-0038120,NYJ,299,86,290.5,243.52,17,2023,17.08823529411765,14.324705882352943,HVT_perc,0.2876254180602007,0.8561872909698997,RB1
RB,Travis Etienne,00-0036973,JAX,325,74,282.4,263.94,17,2023,16.61176470588235,15.525882352941176,TRAP,0.7723076923076924,0.3861538461538462,RB1
RB,Travis Etienne,00-0036973,JAX,325,74,282.4,263.94,17,2023,16.61176470588235,15.525882352941176,HVT_perc,0.22769230769230764,0.8861538461538462,RB1
RB,Rachaad White,00-0037256,TB,336,83,267.9,255.44,17,2023,15.758823529411764,15.025882352941176,TRAP,0.7529761904761905,0.37648809523809523,RB1
RB,Rachaad White,00-0037256,TB,336,83,267.9,255.44,17,2023,15.758823529411764,15.025882352941176,HVT_perc,0.24702380952380953,0.8764880952380952,RB1
RB,Raheem Mostert,00-0031687,MIA,234,58,267.7,214.45,15,2023,17.846666666666668,14.296666666666665,TRAP,0.7521367521367521,0.37606837606837606,RB1
RB,Raheem Mostert,00-0031687,MIA,234,58,267.7,214.45,15,2023,17.846666666666668,14.296666666666665,HVT_perc,0.24786324786324787,0.8760683760683761,RB1
RB,Joe Mixon,00-0033897,CIN,309,90,267,283.77,17,2023,15.705882352941176,16.69235294117647,TRAP,0.7087378640776699,0.35436893203883496,RB1
RB,Joe Mixon,00-0033897,CIN,309,90,267,283.77,17,2023,15.705882352941176,16.69235294117647,HVT_perc,0.2912621359223301,0.854368932038835,RB1
RB,Kyren Williams,00-0037840,LA,260,64,254.8,238.53,12,2023,21.233333333333334,19.8775,TRAP,0.7538461538461538,0.3769230769230769,RB1
RB,Kyren Williams,00-0037840,LA,260,64,254.8,238.53,12,2023,21.233333333333334,19.8775,HVT_perc,0.24615384615384617,0.8769230769230769,RB1
RB,Derrick Henry,00-0032764,TEN,308,52,246.66,221.34,17,2023,14.509411764705883,13.02,TRAP,0.8311688311688312,0.4155844155844156,RB1
RB,Derrick Henry,00-0032764,TEN,308,52,246.66,221.34,17,2023,14.509411764705883,13.02,HVT_perc,0.16883116883116878,0.9155844155844156,RB1
RB,Bijan Robinson,00-0038542,ATL,272,70,246.29999999999998,256.15,17,2023,14.488235294117645,15.067647058823528,TRAP,0.7426470588235294,0.3713235294117647,RB1
RB,Bijan Robinson,00-0038542,ATL,272,70,246.29999999999998,256.15,17,2023,14.488235294117645,15.067647058823528,HVT_perc,0.25735294117647056,0.8713235294117647,RB1
RB,Jahmyr Gibbs,00-0039139,DET,234,73,242.1,239.8,15,2023,16.14,15.986666666666668,TRAP,0.688034188034188,0.344017094017094,RB1
RB,Jahmyr Gibbs,00-0039139,DET,234,73,242.1,239.8,15,2023,16.14,15.986666666666668,HVT_perc,0.31196581196581197,0.844017094017094,RB1
RB,Alvin Kamara,00-0033906,NO,255,97,233,242.43,13,2023,17.923076923076923,18.64846153846154,TRAP,0.6196078431372549,0.30980392156862746,RB1
RB,Alvin Kamara,00-0033906,NO,255,97,233,242.43,13,2023,17.923076923076923,18.64846153846154,HVT_perc,0.3803921568627451,0.8098039215686275,RB1
RB,James Cook,00-0037248,BUF,281,62,232.7,226.87,17,2023,13.688235294117646,13.34529411764706,TRAP,0.7793594306049823,0.3896797153024911,RB1
RB,James Cook,00-0037248,BUF,281,62,232.7,226.87,17,2023,13.688235294117646,13.34529411764706,HVT_perc,0.22064056939501775,0.8896797153024911,RB1
RB,Saquon Barkley,00-0034844,NYG,288,56,223.20000000000002,223.55,14,2023,15.942857142857145,15.967857142857143,TRAP,0.8055555555555556,0.4027777777777778,RB2
RB,Saquon Barkley,00-0034844,NYG,288,56,223.20000000000002,223.55,14,2023,15.942857142857145,15.967857142857143,HVT_perc,0.19444444444444442,0.9027777777777778,RB2
RB,Tony Pollard,00-0035261,DAL,307,85,222.6,280.69,17,2023,13.094117647058823,16.511176470588236,TRAP,0.7231270358306189,0.36156351791530944,RB2
RB,Tony Pollard,00-0035261,DAL,307,85,222.6,280.69,17,2023,13.094117647058823,16.511176470588236,HVT_perc,0.2768729641693811,0.8615635179153094,RB2
RB,Isiah Pacheco,00-0037197,KC,249,64,213.9,216.73,14,2023,15.278571428571428,15.480714285714285,TRAP,0.7429718875502008,0.3714859437751004,RB2
