team,runs,at_bats,hits,homeruns,bat_avg,strikeouts,stolen_bases,wins,onbase_pct,slug_pct,onbase_plus_slug
Arizona Diamondbacks,746,5436,1359,166,0.25,1247,166,84,0.322,0.408,0.73
Atlanta Braves,947,5597,1543,307,0.276,1289,132,104,0.344,0.501,0.845
Baltimore Orioles,807,5495,1399,183,0.255,1370,114,101,0.321,0.421,0.742
Boston Red Sox,772,5562,1437,182,0.258,1372,112,78,0.324,0.424,0.748
Chicago Cubs,819,5504,1399,196,0.254,1391,140,83,0.33,0.421,0.751
Chicago White Sox,641,5501,1308,171,0.238,1424,86,61,0.291,0.384,0.675
Cincinnati Reds,783,5499,1371,198,0.249,1500,190,82,0.327,0.42,0.746
Cleveland Guardians,662,5513,1379,124,0.25,1142,151,76,0.313,0.381,0.695
Colorado Rockies,721,5496,1368,163,0.249,1543,76,59,0.31,0.405,0.715
Detroit Tigers,661,5478,1292,165,0.236,1473,85,78,0.305,0.382,0.686
Houston Astros,827,5567,1441,222,0.259,1241,107,90,0.331,0.437,0.768
Kansas City Royals,676,5428,1325,163,0.244,1396,163,56,0.303,0.398,0.7
Los Angeles Angels,739,5489,1346,231,0.245,1524,72,73,0.317,0.426,0.743
Los Angeles Dodgers,906,5524,1422,249,0.257,1359,105,100,0.34,0.455,0.795
Miami Marlins,666,5497,1423,166,0.259,1287,86,84,0.316,0.405,0.721
Milwaukee Brewers,728,5386,1290,165,0.24,1412,129,92,0.319,0.385,0.704
Minnesota Twins,778,5489,1336,233,0.243,1654,86,87,0.326,0.428,0.753
New York Mets,717,5363,1276,215,0.238,1331,118,75,0.316,0.407,0.723
New York Yankees,673,5323,1207,219,0.227,1427,100,82,0.304,0.397,0.701
Oakland Athletics,585,5311,1187,171,0.223,1496,149,50,0.298,0.37,0.669
Philadelphia Phillies,796,5541,1417,220,0.256,1481,141,90,0.327,0.438,0.765
Pittsburgh Pirates,692,5406,1293,159,0.239,1464,117,76,0.315,0.392,0.707
San Diego Padres,752,5401,1316,205,0.244,1311,137,82,0.329,0.413,0.742
Seattle Mariners,758,5500,1332,210,0.242,1603,118,88,0.321,0.413,0.734
San Francisco Giants,674,5412,1271,174,0.235,1492,57,79,0.312,0.383,0.695
St. Louis Cardinals,719,5510,1376,209,0.25,1326,101,71,0.326,0.416,0.742
Tampa Bay Rays,860,5511,1432,230,0.26,1420,160,99,0.331,0.445,0.776
Texas Rangers,881,5595,1470,233,0.263,1416,79,90,0.337,0.452,0.79
Toronto Blue Jays,746,5562,1423,188,0.256,1303,99,89,0.329,0.417,0.745
Washington Nationals,700,5522,1401,151,0.254,1149,127,71,0.314,0.396,0.709
